tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
--- NEW FIGHT STARTED @ 2026-04-20 20:38:45 ---
tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
125,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,6.0,0.0,60.0,0.0,1,75.0,0.6363636255264282,3.0
126,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,5.0,4.0,60.0,1.0,1,75.0,0.6363636255264282,3.0
127,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,4.0,3.0,60.0,0.0,1,75.0,0.6363636255264282,3.0
128,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,3.0,2.0,60.0,0.0,1,75.0,0.49494948983192444,3.0
129,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,2.0,1.0,60.0,0.0,1,75.0,0.49494948983192444,3.0
130,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,1.0,0.0,60.0,0.0,1,75.0,0.49494948983192444,3.0
131,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,0.0,4.0,60.0,1.0,1,75.0,0.49494948983192444,3.0
132,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,0.0,3.0,60.0,0.0,1,75.0,0.49494948983192444,3.0
133,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,0.0,2.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
134,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,2.0,0.0,1.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
135,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,0.0,0.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
136,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,4.0,60.0,1.0,1,75.0,0.3030303120613098,3.0
137,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,31.0,3.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
138,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,30.0,2.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
139,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,29.0,1.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
140,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,28.0,0.0,60.0,0.0,1,75.0,0.3030303120613098,3.0
141,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,27.0,4.0,70.0,1.0,1,75.0,0.3030303120613098,3.0
142,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,26.0,3.0,70.0,0.0,1,75.0,0.3030303120613098,3.0
143,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,25.0,2.0,70.0,0.0,1,75.0,0.3030303120613098,3.0
144,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,24.0,1.0,70.0,0.0,1,75.0,0.3030303120613098,3.0
145,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,23.0,0.0,70.0,0.0,1,75.0,0.3030303120613098,3.0
146,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,22.0,4.0,70.0,1.0,1,75.0,0.35353535413742065,3.0
147,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,21.0,3.0,70.0,0.0,1,75.0,0.35353535413742065,3.0
148,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,20.0,2.0,70.0,0.0,1,75.0,0.2222222238779068,3.0
149,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,19.0,1.0,70.0,0.0,1,75.0,0.2222222238779068,3.0
150,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,18.0,0.0,70.0,0.0,1,75.0,0.2222222238779068,3.0
151,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,17.0,4.0,70.0,1.0,1,75.0,0.3030303120613098,3.0
152,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,16.0,6.0,70.0,0.0,1,75.0,0.3030303120613098,3.0
